name,basekV,latitude,longitude
m1026492,7.2,46.6500221,-119.2104208
p827495,7.2,46.64801056,-119.2090653
l2785520,7.2,46.64485334,-119.1967526
l2916625,7.2,46.64188228,-119.2019149
p901909,7.2,46.64821678,-119.2101858
d6047588-1_int,7.2,46.64950836,-119.2115949
m1026485,7.2,46.6493467,-119.2112078
m1047368,7.2,46.64190236,-119.191792
m1026463,7.2,46.6479116,-119.2094002
d5865224-1_int,7.2,46.6480709,-119.208749
m1026496,7.2,46.65023026,-119.2115099
l3254212,7.2,46.64325474,-119.1903276
m1026472,7.2,46.6483373,-119.2105086
l2691959,7.2,46.65084542,-119.2117897
l3048231,7.2,46.65077602,-119.2102582
l2841620,7.2,46.64316906,-119.1932758
m1026486,7.2,46.64942416,-119.2113918
p841985,7.2,46.64291816,-119.2000876
l3119793,7.2,46.6432313,-119.1994072
l2691942,7.2,46.64373028,-119.2046385
m1047374,7.2,46.64325924,-119.2057907
l3254211,7.2,46.645487,-119.1990598
l2729407,7.2,46.64563548,-119.2009013
m1026466,7.2,46.64806348,-119.2087856
l2766732,7.2,46.64919712,-119.2110555
p827542,7.2,46.64939414,-119.2113205
l3139598,7.2,46.64196604,-119.2042992
l2689678,7.2,46.64275712,-119.20719
m1047388,7.2,46.6450179,-119.2013063
m1026487,7.2,46.64948248,-119.2112246
m1026488,7.2,46.64949368,-119.2115571
l2748130,7.2,46.64275346,-119.1914081
d5472341-1_int,7.2,46.64835404,-119.2105506
m1047379,7.2,46.64340946,-119.1985419
l3178981,7.2,46.6397892,-119.1890861
l2879065,7.2,46.64496946,-119.2057167
m1047386,7.2,46.6447013,-119.199047
l2785528,7.2,46.64154006,-119.1923718
m1026468,7.2,46.64816054,-119.2100351
d5653469-1_int,7.2,46.6394679,-119.1887233
221-306687,7.2,46.64289938,-119.2001065
l2897784,7.2,46.6496183,-119.2112414
l3197629,7.2,46.64604864,-119.2042646
m1047371,7.2,46.64294504,-119.2000605
