name,basekV,latitude,longitude
d6170302-1_int,7.2,46.66495018,-119.1414136
l2955081,7.2,46.66769888,-119.1405301
m1108316,7.2,46.66651192,-119.1414781
l3179682,7.2,46.66677246,-119.1403016
m1125903,7.2,46.66878874,-119.1383961
m1125904,7.2,46.66893766,-119.1384733
l2898526,7.2,46.66530598,-119.1417184
m1125902,7.2,46.66861532,-119.138837
p860843,7.2,46.66650352,-119.1409022
m1108311,7.2,46.66541248,-119.1413154
d6141147-1_int,7.2,46.66660544,-119.1423535
l2989565,7.2,46.66858048,-119.1383035
l2786274,7.2,46.6670352,-119.139946
n1230121,7.2,46.66645826,-119.1412283
e183493,7.2,46.66927454,-119.1375278
m1108315,7.2,46.66642506,-119.1410774
226-23751,7.2,46.66802514,-119.1399273
196-35541,7.2,46.666531,-119.1416199
l2674051,7.2,46.6700482,-119.1391932
n1142108,7.2,46.66912196,-119.1385928
p829986,7.2,46.66871434,-119.1387253
