name,bus,P1,Q1,P2,Q2,P3,Q3
 ,d6077791-3_int,0.0,0.0,0.0,0.0,0.0,0.0
 ,n1136663,0.0,0.0,0.0,0.0,0.0,0.0
 ,m1047534,0.0,0.0,0.0,0.0,0.0,0.0
 ,m1047550,0.0,0.0,0.0,0.0,0.0,0.0
 ,m1047558,0.0,0.0,0.0,0.0,0.0,0.0
 ,m1047568,0.0,0.0,0.0,0.0,0.0,0.0
 ,q14733,0.0,0.0,0.0,0.0,0.0,0.0
 ,p827527,0.0,0.0,0.0,0.0,0.0,0.0
 ,n1136658,0.0,0.0,0.0,0.0,0.0,0.0
 ,m1047566,0.0,0.0,0.0,0.0,0.0,0.0
 ,l3029505,0.0,0.0,0.0,0.0,10.17,2.5500000000000003
338967c0b,l2673318,0.0,0.0,0.0,0.0,10.17,2.55
 ,n1136661,0.0,0.0,0.0,0.0,0.0,0.0
 ,n1137996,0.0,0.0,0.0,0.0,0.0,0.0
 ,l3178979,0.0,0.0,0.0,0.0,15.26,3.82
 ,n1136659,0.0,0.0,0.0,0.0,0.0,0.0
 ,n1137995,0.0,0.0,0.0,0.0,0.0,0.0
 ,l3104129,13.3,3.33,0.0,0.0,0.0,0.0
338970a0b,l3141401,8.87,2.22,0.0,0.0,0.0,0.0
 ,n1136660,0.0,0.0,0.0,0.0,0.0,0.0
 ,l3010568,8.87,2.23,0.0,0.0,0.0,0.0
