name,basekV,latitude,longitude
area_1,66.4,46.6960952,-119.0701878
area_2,66.4,46.6956596,-119.07071
area_3,39.84,46.69478842,-119.0717544
area_4,7.2,46.69217484,-119.0748875
area_5,7.2,46.69173926,-119.0754097
area_6,39.84,46.6717019,-119.0696656
area_7,39.84,46.62073734,-119.2047543
area_8,7.2,46.62247972,-119.2047543
area_9,7.2,46.61677944,-119.2160248
area_10,39.84,46.679107,-119.2401583
area_11,7.2,46.68172058,-119.2409416
area_12,7.2,46.68657428,-119.2376198
area_13,7.2,46.68533204,-119.0808273
area_14,7.2,46.68093756,-119.1043812
area_15,7.2,46.68226664,-119.1109343
area_16,7.2,46.68259678,-119.1165373
area_17,7.2,46.6335317,-119.202975
area_18,7.2,46.64948422,-119.1749648
area_19,7.2,46.65421884,-119.1679067
area_20,7.2,46.65388888,-119.1650904
area_21,7.2,46.66317248,-119.1387152
area_22,7.2,46.66912196,-119.1385928
area_23,7.2,46.67599334,-119.1264409
area_24,7.2,46.65915286,-119.1759707
area_25,0.28,46.66124764,-119.1730578
area_26,7.2,46.66992324,-119.1780518
area_27,7.2,46.69226836,-119.1799065
area_28,7.2,46.70125468,-119.1865142
area_29,7.2,46.71029558,-119.2037622
area_30,7.2,46.72489278,-119.2313438
area_31,7.2,46.72702242,-119.2273648
area_32,7.2,46.72544786,-119.2136075
area_33,7.2,46.71313678,-119.1992506
area_34,7.2,46.71090542,-119.1960339
area_35,7.2,46.7135814,-119.1940144
area_36,7.2,46.71678594,-119.1896632
area_37,7.2,46.72170324,-119.1894845
area_38,7.2,46.72096106,-119.1802548
area_39,7.2,46.71604896,-119.1440103
area_40,0.28,46.71874612,-119.1699247
area_41,7.2,46.71529276,-119.1460857
area_42,7.2,46.7047103,-119.1418328
area_43,7.2,46.69589826,-119.1407534
area_44,7.2,46.68425042,-119.1193946
area_45,7.2,46.70540942,-119.2107414
area_46,7.2,46.69313232,-119.2200522
area_47,7.2,46.69095422,-119.2317572
area_48,7.2,46.71950814,-119.2370691
area_49,7.2,46.70671908,-119.2419282
area_50,7.2,46.70085572,-119.1444237
area_51,0.28,46.69740198,-119.1626142
area_52,0.28,46.69740198,-119.162092
area_53,7.2,46.69119358,-119.1646024
area_54,7.2,46.69211626,-119.1666349
area_55,7.2,46.67795146,-119.1548812
area_56,7.2,46.67302432,-119.090196
area_57,0.28,46.6777131,-119.0761929
area_58,7.2,46.72204548,-119.1994218
area_59,7.2,46.72959064,-119.176443
area_60,7.2,46.66760696,-119.116836
area_61,0.28,46.67387988,-119.1177065
area_62,7.2,46.6259,-119.2027
area_63,7.2,46.72842974,-119.235183
area_64,7.2,46.69112868,-119.2091514
area_65,7.2,46.68200302,-119.2141145
area_66,7.2,46.66463886,-119.1783483
area_67,7.2,46.7591693,-119.2274693
area_68,7.2,46.6129871,-119.2211438
area_69,7.2,46.73761946,-119.2280158
area_70,7.2,46.75782426,-119.2301996
area_71,7.2,46.67845644,-119.1778916
area_72,7.2,46.74322522,-119.1806724
area_73,7.2,46.70300256,-119.2155129
area_74,7.2,46.716076,-119.1055504
area_75,7.2,46.63052832,-119.1543006
area_76,7.2,46.64759676,-119.1712693
area_77,7.2,46.6496183,-119.2112414
area_78,7.2,46.6483,-119.2106
area_79,7.2,46.60131286,-119.2482271
area_80,7.2,46.648083,-119.2086814
area_81,7.2,46.6495,-119.21164
area_82,7.2,46.74419338,-119.1981099
area_83,7.2,46.7531566,-119.2116994
area_84,7.2,46.73785448,-119.1979801
area_85,7.2,46.71983402,-119.2508101
area_86,7.2,46.7191047,-119.2239964
area_87,7.2,46.76976138,-119.2337729
area_88,0.28,46.60505594,-119.1970782
area_89,7.2,46.61115426,-119.2127437
area_90,7.2,46.60897628,-119.2090884
area_91,7.2,46.61463902,-119.1981226
area_92,7.2,46.60897628,-119.2028222
area_93,7.2,46.61246104,-119.1944673
area_94,7.2,46.60418474,-119.2023001
area_95,0.28,46.6081051,-119.1939451
area_96,0.28,46.60636272,-119.1939451
area_97,0.28,46.60462034,-119.1939451
area_98,0.28,46.60462034,-119.1976004
area_99,0.28,46.6045,-119.1955
