name,basekV,latitude,longitude
p850080,7.2,46.69984014,-119.1529884
n1230123,7.2,46.69920108,-119.1450375
221-282819,7.2,46.69919096,-119.1444711
m1108398,7.2,46.7002715,-119.1529181
221-312488,7.2,46.70044048,-119.1560165
m1108423,7.2,46.70129716,-119.1482473
l3233413,7.2,46.70294692,-119.1469177
221-282818,7.2,46.69920438,-119.1451486
l3102286,7.2,46.7021277,-119.1483682
m1108459,7.2,46.70266396,-119.146068
m1108378,7.2,46.6990649,-119.1443824
l3254237,7.2,46.69859228,-119.1520753
221-311609,7.2,46.70027372,-119.1527958
l3027671,7.2,46.70305508,-119.1479677
l3252336,7.2,46.7009123,-119.1467303
221-308718,7.2,46.69933354,-119.1509608
m1108407,7.2,46.69783758,-119.150604
m1108403,7.2,46.69783758,-119.1495596
p850072,7.2,46.70027246,-119.1528654
228-1048090-1_int,7.2,46.70045114,-119.1482803
l3214549,7.2,46.6999685,-119.1481807
m1108380,7.2,46.69908516,-119.1452515
l2990827,7.2,46.70088674,-119.1584367
m1108400,7.2,46.69827316,-119.1469487
l3215203,7.2,46.69980798,-119.152664
l2728247,7.2,46.69903686,-119.154764
m1108402,7.2,46.69783758,-119.1487763
m1089185,7.2,46.70062786,-119.1560123
p862322,7.2,46.69925918,-119.1509609
n1230122,7.2,46.69919202,-119.1445672
m1108406,7.2,46.69696638,-119.150604
l2898495,7.2,46.69911926,-119.1467158
l2915542,7.2,46.7002868,-119.1520828
l2989566,7.2,46.69911832,-119.1429037
193-51796,7.2,46.70004186,-119.1482809
l3027670,7.2,46.70155908,-119.1443784
m1108433,7.2,46.70168304,-119.1482486
l2708744,7.2,46.69983438,-119.1449535
m1108412,7.2,46.70085572,-119.1444237
m1108464,7.2,46.70285802,-119.1475734
m1108413,7.2,46.70087188,-119.1443817
m1108405,7.2,46.69696638,-119.1479931
l2802480,7.2,46.70190402,-119.1464331
l2690187,7.2,46.70046496,-119.1456287
221-311905,7.2,46.69983156,-119.1529018
m1108460,7.2,46.70268282,-119.144821
e183472,7.2,46.69892656,-119.1417269
m1108401,7.2,46.69827316,-119.147732
l2990098,7.2,46.70282936,-119.1455143
l2896685,7.2,46.70052562,-119.1556193
m1108381,7.2,46.6991535,-119.1509615
l3233412,7.2,46.70076948,-119.1446078
m1108395,7.2,46.70012254,-119.1540697
m1108462,7.2,46.7026924,-119.1461665
m1108387,7.2,46.69984872,-119.1530436
l2952003,7.2,46.6990987,-119.1491253
l2803199,7.2,46.69981482,-119.1509601
m1108379,7.2,46.69906914,-119.1445639
m1108410,7.2,46.70175792,-119.1542593
p850083,7.2,46.70052476,-119.1560153
l2821087,7.2,46.70298108,-119.1443741
p904452,7.2,46.69917782,-119.1452366
m1089183,7.2,46.70024728,-119.1560193
l2802481,7.2,46.70084562,-119.1484247
l2990826,7.2,46.7004649,-119.1566506
p904451,7.2,46.69916418,-119.1443977
m1108404,7.2,46.69696638,-119.1443378
m1108393,7.2,46.70004992,-119.1482517
