name,bus,P1,Q1,P2,Q2,P3,Q3
 ,e183472,0.0,0.0,0.0,0.0,0.0,0.0
260602b0b,l2989566,0.0,0.0,5.84,1.46,0.0,0.0
 ,m1108378,0.0,0.0,0.0,0.0,0.0,0.0
 ,m1108379,0.0,0.0,0.0,0.0,0.0,0.0
 ,m1108380,0.0,0.0,0.0,0.0,0.0,0.0
 ,l2898495,0.0,0.0,0.0,0.0,0.0,0.0
 ,m1108400,0.0,0.0,0.0,0.0,0.0,0.0
 ,m1108401,0.0,0.0,0.0,0.0,0.0,0.0
 ,m1108402,0.0,0.0,0.0,0.0,0.0,0.0
 ,m1108403,30.22,7.58,26.26,6.58,21.52,5.39
 ,m1108404,27.84,6.98,38.73,9.71,0.0,0.0
 ,m1108405,22.77,5.710000000000001,29.36,7.359999999999999,0.0,0.0
2221108406b0b,m1108406,23.53,5.890000000000001,26.28,6.59,0.0,0.0
 ,m1108407,0.0,0.0,39.09,9.79,0.0,0.0
337614b0b,l2952003,0.0,0.0,9.73,2.44,0.0,0.0
 ,m1108381,0.0,0.0,0.0,0.0,0.0,0.0
 ,l3254237,8.87,2.22,0.0,0.0,0.0,0.0
 ,m1108387,0.0,0.0,0.0,0.0,0.0,0.0
 ,m1108398,0.0,0.0,0.0,0.0,0.0,0.0
 ,m1108395,0.0,0.0,0.0,0.0,0.0,0.0
 ,m1108410,0.0,0.0,55.43,13.89,0.0,0.0
227187012c0b,l2896685,5.32,1.34,5.84,1.47,6.1,1.53
 ,m1089185,0.0,0.0,0.0,0.0,0.0,0.0
 ,p850083,0.0,0.0,0.0,0.0,0.0,0.0
 ,221-312488,0.0,0.0,0.0,0.0,0.0,0.0
 ,m1089183,0.0,0.0,0.0,0.0,0.0,0.0
 ,l2990826,8.87,2.22,9.73,2.44,10.17,2.54
 ,l2990827,0.0,0.0,0.0,0.0,0.0,0.0
 ,l2728247,3.55,0.89,9.73,2.4400000000000004,4.07,1.02
 ,221-308718,0.0,0.0,0.0,0.0,0.0,0.0
 ,l2803199,17.740000000000002,4.45,19.45,4.87,20.34,5.1
 ,221-311609,0.0,0.0,0.0,0.0,0.0,0.0
227921427c0b,l2915542,17.740000000000002,4.44,19.45,4.880000000000001,20.34,5.1
 ,221-311905,0.0,0.0,0.0,0.0,0.0,0.0
227760024c0b,l3215203,17.740000000000002,4.44,19.450000000000003,4.87,20.34,5.1
 ,p862322,0.0,0.0,0.0,0.0,0.0,0.0
 ,p850080,0.0,0.0,0.0,0.0,0.0,0.0
 ,p850072,0.0,0.0,0.0,0.0,0.0,0.0
 ,p904451,0.0,0.0,0.0,0.0,0.0,0.0
 ,221-282819,0.0,0.0,0.0,0.0,0.0,0.0
 ,n1230122,0.0,0.0,0.0,0.0,0.0,0.0
226308717a0b,l3233412,17.740000000000002,4.45,0.0,0.0,0.0,0.0
 ,m1108413,0.0,0.0,0.0,0.0,0.0,0.0
 ,m1108460,0.0,0.0,0.0,0.0,0.0,0.0
226308720a0b,l2821087,26.6,6.67,0.0,0.0,0.0,0.0
226308721a0b,l2990098,17.740000000000002,4.44,0.0,0.0,0.0,0.0
 ,m1108462,0.0,0.0,0.0,0.0,0.0,0.0
226308728a0b,l3027671,13.3,3.33,0.0,0.0,0.0,0.0
 ,m1108423,0.0,0.0,0.0,0.0,0.0,0.0
 ,m1108393,0.0,0.0,0.0,0.0,0.0,0.0
 ,193-51796,0.0,0.0,0.0,0.0,0.0,0.0
 ,228-1048090-1_int,0.0,0.0,0.0,0.0,0.0,0.0
 ,m1108433,0.0,0.0,0.0,0.0,0.0,0.0
226308729b0b,l3102286,0.0,0.0,29.18,7.31,0.0,0.0
 ,m1108464,0.0,0.0,0.0,0.0,0.0,0.0
226308727b0b,l3233413,0.0,0.0,19.45,4.88,0.0,0.0
226308723b0b,l3252336,0.0,0.0,14.59,3.65,0.0,0.0
 ,l2802480,0.0,0.0,29.18,7.31,0.0,0.0
 ,m1108459,0.0,0.0,0.0,0.0,0.0,0.0
 ,l3027670,0.0,0.0,29.18,7.31,0.0,0.0
 ,m1108412,0.0,0.0,0.0,0.0,0.0,0.0
226308716b0b,l2690187,0.0,0.0,29.18,7.31,0.0,0.0
226308710b0b,l2708744,0.0,0.0,29.18,7.32,0.0,0.0
 ,n1230123,0.0,0.0,0.0,0.0,0.0,0.0
 ,221-282818,0.0,0.0,0.0,0.0,0.0,0.0
 ,p904452,0.0,0.0,0.0,0.0,0.0,0.0
226308731a0b,l3214549,17.74,4.449999999999999,0.0,0.0,0.0,0.0
226308730a0b,l2802481,26.6,6.66,0.0,0.0,0.0,0.0
