name,basekV,latitude,longitude
25,2.4,3150.0,1500.0
250,2.4,3650.0,2050.0
11,2.4,2150.0,950.0
17,2.4,1250.0,1850.0
4,2.4,1050.0,700.0
24,2.4,2875.0,950.0
20,2.4,2325.0,925.0
7,2.4,1500.0,1000.0
33,2.4,3650.0,875.0
9,2.4,1725.0,1200.0
29,2.4,3650.0,1500.0
3,2.4,1250.0,700.0
6,2.4,1150.0,1275.0
10,2.4,2150.0,1450.0
21,2.4,2625.0,1500.0
1,2.4,1500.0,700.0
13,2.4,1500.0,1500.0
12,2.4,1275.0,1200.0
15,2.4,1250.0,1500.0
22,2.4,2625.0,975.0
8,2.4,1500.0,1200.0
19,2.4,2325.0,1250.0
31,2.4,3375.0,1150.0
9r,2.4,1725.0,1200.0
25r,2.4,3150.0,1500.0
28,2.4,3350.0,1500.0
26,2.4,3150.0,1150.0
16,2.4,875.0,1500.0
30,2.4,3650.0,1850.0
27,2.4,3150.0,875.0
32,2.4,3675.0,1150.0
18,2.4,2325.0,1500.0
23,2.4,2875.0,1500.0
5,2.4,1250.0,1025.0
149,2.4,1500.0,300.0
34,2.4,1350.0,1500.0
14,2.4,2150.0,1200.0
2,2.4,1675.0,700.0
