name,element,length_unit,z_matrix_real,z_matrix_imag,length,from_bus,to_bus,num_phases,phases,is_switch,is_open,base_kv_LL
l35,line,0,"[[0.086666667, 0.02907197, 0.0], [0.02907197, 0.087405303, 0.0], [0.0, 0.0, 0.0]]","[[0.204166667, 0.072897727, 0.0], [0.072897727, 0.201723485, 0.0], [0.0, 0.0, 0.0]]",0.65,35,36,2,"{'a', 'b'}",False,False,4.16
l36,line,0,"[[0.086666667, 0.029545455, 0.02907197], [0.029545455, 0.088371212, 0.029924242], [0.02907197, 0.029924242, 0.087405303]]","[[0.204166667, 0.095018939, 0.072897727], [0.095018939, 0.198522727, 0.080227273], [0.072897727, 0.080227273, 0.201723485]]",0.25,35,40,3,"{'c', 'a', 'b'}",False,False,4.16
l37,line,0,"[[0.251742424, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.255208333, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]",0.3,36,37,1,{'a'},False,False,4.16
l38,line,0,"[[0.0, 0.0, 0.0], [0.0, 0.251742424, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.255208333, 0.0], [0.0, 0.0, 0.0]]",0.25,36,38,1,{'b'},False,False,4.16
l39,line,0,"[[0.0, 0.0, 0.0], [0.0, 0.251742424, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.255208333, 0.0], [0.0, 0.0, 0.0]]",0.325,38,39,1,{'b'},False,False,4.16
l40,line,0,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.251742424]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.255208333]]",0.325,40,41,1,{'c'},False,False,4.16
l41,line,0,"[[0.086666667, 0.029545455, 0.02907197], [0.029545455, 0.088371212, 0.029924242], [0.02907197, 0.029924242, 0.087405303]]","[[0.204166667, 0.095018939, 0.072897727], [0.095018939, 0.198522727, 0.080227273], [0.072897727, 0.080227273, 0.201723485]]",0.25,40,42,3,"{'c', 'a', 'b'}",False,False,4.16
l42,line,0,"[[0.0, 0.0, 0.0], [0.0, 0.251742424, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.255208333, 0.0], [0.0, 0.0, 0.0]]",0.5,42,43,1,{'b'},False,False,4.16
l43,line,0,"[[0.086666667, 0.029545455, 0.02907197], [0.029545455, 0.088371212, 0.029924242], [0.02907197, 0.029924242, 0.087405303]]","[[0.204166667, 0.095018939, 0.072897727], [0.095018939, 0.198522727, 0.080227273], [0.072897727, 0.080227273, 0.201723485]]",0.2,42,44,3,"{'c', 'a', 'b'}",False,False,4.16
l44,line,0,"[[0.251742424, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.255208333, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]",0.2,44,45,1,{'a'},False,False,4.16
l45,line,0,"[[0.086666667, 0.029545455, 0.02907197], [0.029545455, 0.088371212, 0.029924242], [0.02907197, 0.029924242, 0.087405303]]","[[0.204166667, 0.095018939, 0.072897727], [0.095018939, 0.198522727, 0.080227273], [0.072897727, 0.080227273, 0.201723485]]",0.25,44,47,3,"{'c', 'a', 'b'}",False,False,4.16
l46,line,0,"[[0.251742424, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.255208333, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]",0.3,45,46,1,{'a'},False,False,4.16
l47,line,0,"[[0.087405303, 0.029924242, 0.02907197], [0.029924242, 0.088371212, 0.029545455], [0.02907197, 0.029545455, 0.086666667]]","[[0.201723485, 0.080227273, 0.072897727], [0.080227273, 0.198522727, 0.095018939], [0.072897727, 0.095018939, 0.204166667]]",0.15,47,48,3,"{'c', 'a', 'b'}",False,False,4.16
l48,line,0,"[[0.087405303, 0.029924242, 0.02907197], [0.029924242, 0.088371212, 0.029545455], [0.02907197, 0.029545455, 0.086666667]]","[[0.201723485, 0.080227273, 0.072897727], [0.080227273, 0.198522727, 0.095018939], [0.072897727, 0.095018939, 0.204166667]]",0.25,47,49,3,"{'c', 'a', 'b'}",False,False,4.16
l49,line,0,"[[0.087405303, 0.029924242, 0.02907197], [0.029924242, 0.088371212, 0.029545455], [0.02907197, 0.029545455, 0.086666667]]","[[0.201723485, 0.080227273, 0.072897727], [0.080227273, 0.198522727, 0.095018939], [0.072897727, 0.095018939, 0.204166667]]",0.25,49,50,3,"{'c', 'a', 'b'}",False,False,4.16
l50,line,0,"[[0.087405303, 0.029924242, 0.02907197], [0.029924242, 0.088371212, 0.029545455], [0.02907197, 0.029545455, 0.086666667]]","[[0.201723485, 0.080227273, 0.072897727], [0.080227273, 0.198522727, 0.095018939], [0.072897727, 0.095018939, 0.204166667]]",0.25,50,51,3,"{'c', 'a', 'b'}",False,False,4.16
l51,line,0,"[[0.087405303, 0.029924242, 0.02907197], [0.029924242, 0.088371212, 0.029545455], [0.02907197, 0.029545455, 0.086666667]]","[[0.201723485, 0.080227273, 0.072897727], [0.080227273, 0.198522727, 0.095018939], [0.072897727, 0.095018939, 0.204166667]]",0.5,51,151,3,"{'c', 'a', 'b'}",False,False,4.16
