PrimaryBus,SecondaryBus,LoadNames,Load_kW,PVNames,PV_kW
L2804253.1,SX2804253A,21396254A0a;21396254A0b,3.25553552627564;2.06446447372437,,
L3254213.2,SX3254213B,321859B0a;321859B0b,8.34756267249584;1.38243732750416,,
L3216339.2,SX3216339B,391741B0a;391741B0b,8.42525146245957;1.30474853754044,,
L2954355.1,SX2954355A,293672A0a;293672A0b,0.377924103736877;4.94207589626312,,
L2861197.3,SX2861197C,21474711C0a;21474711C0b,3.30569785833359;2.79430214166641,PV_1017,6.1
L2842379.1,SX2842379A,260488A0a;260488A0b,2.52633565068245;10.7736643493176,,
L2841636.2,SX2841636B,391758B0a;391758B0b,2.28387739181519;3.55612260818481,PV_1019,5.84
L3047289.1,SX3047289A,228091193A0a;228091193A0b,3.83375529050827;13.9062447094917,,
L3047289.2,SX3047289B,228091193B0a;228091193B0b,11.0588062554598;8.39119374454021,,
L3047289.3,SX3047289C,228091193C0a;228091193C0b,4.29299530506134;16.0470046949387,,
L3085399.3,SX3085399C,302862C0a;302862C0b,4.08393432497978;2.01606567502022,,
L3085391.2,SX3085391B,21236413B0a;21236413B0b,14.6018905192614;4.84810948073864,,
L2897778.1,SX2897778A,302468A0a;302468A0b,1.40163693726063;2.14836306273937,,
L3197647.1,SX3197647A,294787A0a;294787A0b,1.13439882397652;2.41560117602348,,
L2936275.2,SX2936275B,157715B0a;157715B0b,2.04099854767323;1.84900145232677,,
L2729408.2,SX2729408B,355768B0a;355768B0b,1.24991512298584E-02;9.71750084877014,,
L2673310.1,SX2673310A,138562A0a;138562A0b,6.82647125542164;2.04352874457836,,
L3048212.1,SX3048212A,355934A0a;355934A0b,2.5060172021389;1.0439827978611,,
L3104133.1,SX3104133A,293483A0a;293483A0b,6.33283464491367;2.53716535508633,,
L2879087.1,SX2879087A,21399762A0a;21399762A0b,1.26040488243103;4.05959511756897,,
L2710510.3,SX2710510C,138650C0a;138650C0b,0.156969414949417;3.91303058505058,PV_1033,4.07
L3122810.2,SX3122810B,323242B0a;323242B0b,9.13576661884785;0.594233381152153,,
L2954352.3,SX2954352C,2127090C0a;2127090C0b,7.41832148730755;2.75167851269245,,
L2729411.1,SX2729411A,138769A0a;138769A0b,0.204705214500427;3.34529478549957,,
L3178971.1,SX3178971A,338896A0a;338896A0b,0.244589693546295;5.0754103064537,,
L3254234.2,SX3254234B,355586B0a;355586B0b,7.29204090058804;2.43795909941196,,
293471.1,SX_293471A,293471A0a;293471A0b,5.13682700455189;3.73317299544811,,
293471.2,SX_293471B,293471B0a;293471B0b,0.623330212831497;9.1066697871685,,
293471.3,SX_293471C,293471C0a;293471C0b,5.42570485889912;4.74429514110088,,
L2860482.1,SX2860482A,338954A0a;338954A0b,5.75790035247803;3.11209964752197,,
L2763811.3,SX2763811C,21459629C0a;21459629C0b,19.9439783668518;10.5760216331482,,
L3251799.1,SX3251799A,260562A0a;260562A0b,4.87104940414429;8.42895059585571,,
L2898526.3,SX2898526C,21393486C0a;21393486C0b,4.70544967651367;1.39455032348633,,
L2897780.2,SX2897780B,293518B0a;293518B0b,1.85309544205666;7.87690455794334,,
L3027124.3,SX3027124C,226195194C0a;226195194C0b,8.15061146557331;2.01938853442669,,
L2954361.2,SX2954361B,21383494B0a;21383494B0b,2.02594063222408;7.70405936777592,,
L2745811.3,SX2745811C,251863C0a;251863C0b,8.2485082000494;1.9214917999506,,
L2841633.1,SX2841633A,293645A0a;293645A0b,1.76712000966072;7.10287999033928,,
L2917359.1,SX2917359A,21482431A0a;21482431A0b,4.77362017154694;0.546379828453064,,
L2748158.1,SX2748158A,293480A0a;293480A0b,4.20237488746643;1.11762511253357,,
L2955047.1,SX2955047A,21469911A0a;21469911A0b,5.69832244455814;3.17167755544186,,
L3122837.3,SX3122837C,355432C0a;355432C0b,8.93224236369133;6.32775763630867,,
L2804269.2,SX2804269B,323285B0a;323285B0b,6.2684878885746;3.4615121114254,,
L3157708.3,SX3157708C,226192954C0a;226192954C0b,4.4307714164257;1.6692285835743,,
L3179682.3,SX3179682C,207292C0a;207292C0b,4.72984499931335;1.37015500068665,,
L2822877.2,SX2822877B,337672B0a;337672B0b,7.64512538909912E-03;5.8323548746109,,
L3141393.3,SX3141393C,442373C0a;442373C0b,7.05370406985283;3.11629593014717,,
L2897801.1,SX2897801A,21470405A0a;21470405A0b,7.28226785063744;6.01773214936256,,
L3217056.1,SX3217056A,218474A0a;218474A0b,11.7821743142605;5.95782568573952,,
L2936270.1,SX2936270A,218472A0a;218472A0b,4.868102825284;4.001897174716,,
L3235249.1,SX3235249A,356014A0a;356014A0b,1.44577173292637;2.10422826707363,,
L3217052.3,SX3217052C,260528C0a;260528C0b,6.35585537731648;3.81414462268352,,
L2916598.1,SX2916598A,355933A0a;355933A0b,2.23759287893772;1.31240712106228,,
L3048206.1,SX3048206A,138649A0a;138649A0b,7.67008161604404;1.19991838395596,,
L3141402.3,SX3141402C,391978C0a;391978C0b,8.89871302306652;1.27128697693348,,
L3235256.1,SX3235256A,138642A0a;138642A0b,3.69108180999756;1.62891819000244,,
L3178973.1,SX3178973A,21149420A0a;21149420A0b,3.68113002300262;5.18886997699738,,
L3197654.1,SX3197654A,21382992A0a;21382992A0b,0.829447727203369;8.04055227279663,,
L3066809.3,SX3066809C,338958C0a;338958C0b,4.99608320474625;5.17391679525375,,
L2766742.2,SX2766742B,355585B0a;355585B0b,3.17199291229248;2.66800708770752,,
L2991908.1,SX2991908A,338900A0a;338900A0b,4.60384881258011;0.716151187419891,,
L3065750.2,SX3065750B,323389B0a;323389B0b,6.64619922459126;3.08380077540875,,
L3085401.1,SX3085401A,2127253A0a;2127253A0b,9.17680178284645;4.12319821715355,,
L2729413.1,SX2729413A,21397067A0a;21397067A0b,2.62972424030304;2.69027575969696,,
L3254915.2,SX3254915B,260520B0a;260520B0b,1.21278791427612;0.737212085723877,,
L2748131.2,SX2748131B,323250B0a;323250B0b,0.262070150375366;5.57792984962463,,
L3066810.3,SX3066810C,337659C0a;337659C0b,2.28274674117565;7.88725325882435,,
L2973146.2,SX2973146B,2118903B0a;2118903B0b,8.51745184123516;1.21254815876484,,
L2973180.2,SX2973180B,21398646B0a;21398646B0b,0.440817782878876;9.28918221712112,,
L2973167.2,SX2973167B,293656B0a;293656B0b,2.00710978984833;3.83289021015167,,
L2841621.3,SX2841621C,338910C0a;338910C0b,2.89249516189098;7.27750483810902,,
L3123509.3,SX3123509C,2129923C0a;2129923C0b,1.18685448765755;4.91314551234245,,
L2841627.1,SX2841627A,337716A0a;337716A0b,2.77761687755585;2.54238312244415,PV_1071,5.32
L3235250.2,SX3235250B,337698B0a;337698B0b,0.172924353480339;3.71707564651966,,
L3728037.1,SX3728037A,2224386946A0a;2224386946A0b,0.924622548222542;7.94537745177746,,
L3142078.2,SX3142078B,330121B0a;330121B0b,1.63168641030788;2.25831358969212,,
L2879066.2,SX2879066B,323252B0a;323252B0b,0.145427250862122;5.69457274913788,,
L3235254.3,SX3235254C,441331C0a;441331C0b,3.58366618394852;6.58633381605148,,
L2917330.1,SX2917330A,260474A0a;260474A0b,8.10004136025906;0.769958639740944,,
L2914323.2,SX2914323B,355376B0a;355376B0b,2.84755254685879;1.04244745314121,,
L3197640.3,SX3197640C,338944C0a;338944C0b,3.77778518557549;0.292214814424515,,
L3179673.3,SX3179673C,260640C0a;260640C0b,0.922551220655441;5.17744877934456,,
L3048228.3,SX3048228C,274997C0a;274997C0b,3.05408921062946;7.11591078937054,,
L3104126.3,SX3104126C,138372C0a;138372C0b,3.53355606496334;0.536443935036659,PV_1007,4.07
L2990098.1,SX2990098A,226308721A0a;226308721A0b,10.908579647541;6.83142035245895,PV_1183,17.74
