name,bus,P1,Q1,P2,Q2,P3,Q3
 ,d6048634-1_int,0.0,0.0,0.0,0.0,0.0,0.0
 ,m1186067,0.0,0.0,0.0,0.0,0.0,0.0
 ,m3032980,0.0,0.0,0.0,0.0,0.0,0.0
 ,m3032977,0.0,0.0,0.0,0.0,0.0,0.0
 ,m1166366,0.0,0.0,0.0,0.0,0.0,0.0
 ,m1166368,0.0,0.0,0.0,0.0,0.0,0.0
260630b0b,l2973833,0.0,0.0,5.84,1.47,0.0,0.0
 ,m1166373,0.0,0.0,0.0,0.0,0.0,0.0
 ,m1166374,0.0,0.0,0.0,0.0,0.0,0.0
260631a0b,l2786266,5.32,1.3299999999999998,0.0,0.0,0.0,0.0
 ,m1166375,0.0,0.0,0.0,0.0,0.0,0.0
260634a0b,l2842383,5.319999999999999,1.34,0.0,0.0,0.0,0.0
 ,d6023352-1_int,0.0,0.0,0.0,0.0,0.0,0.0
 ,m3032981,0.0,0.0,0.0,0.0,0.0,0.0
 ,p830058,0.0,0.0,0.0,0.0,0.0,0.0
 ,m1166370,0.0,0.0,0.0,0.0,0.0,0.0
260620c0b,l3067506,0.0,0.0,0.0,0.0,4.07,1.02
260621c0b,l2898515,0.0,0.0,0.0,0.0,10.17,2.55
 ,m1166387,0.0,0.0,0.0,0.0,0.0,0.0
 ,m1166386,0.0,0.0,0.0,0.0,0.0,0.0
260625c0b,l3048966,0.0,0.0,0.0,0.0,6.1,1.52
 ,l3198347,0.0,0.0,0.0,0.0,6.1,1.53
260624c0b,l3048946,0.0,0.0,0.0,0.0,6.1,1.5299999999999998
 ,m1166358,0.0,0.0,0.0,0.0,0.0,0.0
21390038c0b,l3030205,0.0,0.0,0.0,0.0,10.17,2.55
 ,m1166364,0.0,0.0,0.0,0.0,0.0,0.0
2150292a0b,l2839305,5.32,1.33,0.0,0.0,0.0,0.0
 ,m1166361,0.0,0.0,0.0,0.0,0.0,0.0
 ,l2992656,13.3,3.34,0.0,0.0,0.0,0.0
 ,m1166356,0.0,0.0,0.0,0.0,0.0,0.0
 ,l2692661,8.87,2.22,0.0,0.0,0.0,0.0
 ,l2989600,0.0,0.0,0.0,0.0,0.0,0.0
 ,m1166369,0.0,0.0,0.0,0.0,0.0,0.0
 ,p829978,0.0,0.0,0.0,0.0,0.0,0.0
 ,m1166362,0.0,0.0,0.0,0.0,0.0,0.0
 ,m1166355,0.0,0.0,0.0,0.0,0.0,0.0
 ,l2858200,0.0,0.0,0.0,0.0,0.0,0.0
 ,l2805035,0.0,0.0,0.0,0.0,0.0,0.0
 ,l2730187,13.3,3.34,0.0,0.0,0.0,0.0
 ,l3104856,5.32,1.33,0.0,0.0,0.0,0.0
 ,l2727019,0.0,0.0,0.0,0.0,0.0,0.0
 ,l2898522,8.870000000000001,2.22,0.0,0.0,0.0,0.0
21474556a0b,l3086098,17.740000000000002,4.45,0.0,0.0,0.0,0.0
 ,p895080,0.0,0.0,0.0,0.0,0.0,0.0
260632a0b,l2917333,8.870000000000001,2.22,0.0,0.0,0.0,0.0
260632a0b,area_13area_14,0.0,0.0,0.0,0.0,0.0,0.0
260632a0b,area_14area_15,774.830000000053,194.18000000001328,809.5299999999588,202.91000000000977,717.1800000000756,179.75
260632a0b,area_14area_56,115.28999999999999,28.9,169.25,42.43,128.14000000000001,32.12
