name,basekV,latitude,longitude
area_1,66.4,46.6960952,-119.0701878
area_2,39.84,46.695224,-119.0712322
area_3,39.84,46.69478842,-119.0717544
area_4,7.2,46.69348162,-119.0733209
area_5,7.2,46.69030928,-119.0760983
area_6,39.84,46.66734596,-119.0811537
area_7,39.84,46.62073734,-119.2047543
area_8,7.2,46.6233509,-119.2047543
area_9,7.2,46.62124214,-119.2114542
area_10,39.84,46.62073734,-119.2059553
area_11,7.2,46.68084938,-119.2406805
area_12,7.2,46.68858808,-119.234297
area_13,7.2,46.68360496,-119.0846939
area_14,7.2,46.68098334,-119.1071373
area_15,7.2,46.68220684,-119.1109185
area_16,7.2,46.68308242,-119.11739
area_17,7.2,46.63111708,-119.2005499
area_18,7.2,46.65057034,-119.1830861
area_19,7.2,46.64953014,-119.1748333
area_20,7.2,46.65410388,-119.1644418
area_21,7.2,46.66417718,-119.1416659
area_22,7.2,46.66495018,-119.1414136
area_23,7.2,46.68098486,-119.1221089
area_24,7.2,46.65306158,-119.1712488
area_25,0.28,46.66124764,-119.1730578
area_26,7.2,46.6712725,-119.1785888
area_27,7.2,46.69133694,-119.179935
area_28,7.2,46.70276294,-119.1892253
area_29,7.2,46.71104494,-119.2034981
area_30,7.2,46.72489278,-119.2313438
area_31,7.2,46.72702242,-119.227887
area_32,7.2,46.72053832,-119.220474
area_33,7.2,46.7128388,-119.1986262
area_34,7.2,46.71025202,-119.1944673
area_35,7.2,46.71552476,-119.1898977
area_36,7.2,46.71669882,-119.1897677
area_37,7.2,46.72170324,-119.1894845
area_38,7.2,46.7210112,-119.1846503
area_39,7.2,46.71626388,-119.1458385
area_40,0.28,46.71874612,-119.1699247
area_41,7.2,46.71529276,-119.1460857
area_42,7.2,46.7070957,-119.1429836
area_43,7.2,46.69140802,-119.1384378
area_44,7.2,46.68625698,-119.1230042
area_45,7.2,46.70380992,-119.2116998
area_46,7.2,46.69360124,-119.221133
area_47,7.2,46.69182638,-119.2304979
area_48,7.2,46.71832454,-119.2372018
area_49,7.2,46.69582492,-119.2370447
area_50,7.2,46.70155908,-119.1443784
area_51,7.2,46.7015786,-119.1633078
area_52,0.28,46.69740198,-119.162092
area_53,7.2,46.69217484,-119.1646047
area_54,7.2,46.6929489,-119.1686314
area_55,7.2,46.67119534,-119.1516388
area_56,7.2,46.67072098,-119.0832084
area_57,0.28,46.6777131,-119.0761929
area_58,7.2,46.7190459,-119.2014976
area_59,7.2,46.72453878,-119.1737714
area_60,7.2,46.67354812,-119.1215108
area_61,0.28,46.67387988,-119.1177065
area_62,7.2,46.6259,-119.2027
area_63,7.2,46.73706932,-119.2311128
area_64,7.2,46.68221122,-119.1897367
area_65,7.2,46.67900094,-119.2134387
area_66,7.2,46.66463886,-119.1783483
area_67,7.2,46.75854504,-119.2256183
area_68,7.2,46.60092036,-119.2432096
area_69,7.2,46.73458598,-119.2280339
area_70,7.2,46.75782426,-119.2301996
area_71,7.2,46.6791398,-119.1768565
area_72,7.2,46.73410218,-119.1784865
area_73,7.2,46.70095208,-119.2136836
area_74,7.2,46.72103634,-119.1135474
area_75,7.2,46.64195128,-119.1494438
area_76,7.2,46.64160924,-119.1789683
area_77,7.2,46.6483373,-119.2105086
area_78,7.2,46.64837412,-119.2106072
area_79,7.2,46.60088084,-119.2477052
area_80,7.2,46.64806,-119.20868
area_81,7.2,46.64952884,-119.2116406
area_82,7.2,46.75020092,-119.1961301
area_83,7.2,46.7436025,-119.2079313
area_84,7.2,46.73480366,-119.1901702
area_85,7.2,46.71906972,-119.2498952
area_86,7.2,46.70506378,-119.2235759
area_87,7.2,46.76503282,-119.2396286
area_88,0.28,46.60505594,-119.1944673
area_89,7.2,46.61376782,-119.2096106
area_90,7.2,46.6067983,-119.2116994
area_91,7.2,46.61246104,-119.2007335
area_92,7.2,46.60897628,-119.2028222
area_93,7.2,46.61463902,-119.1918564
area_94,7.2,46.60331356,-119.2033444
area_95,0.28,46.6081051,-119.1939451
area_96,0.28,46.60636272,-119.1939451
area_97,0.28,46.60462034,-119.1939451
area_98,0.28,46.60462034,-119.1976004
area_99,0.28,46.6045,-119.1955
