name,bus,P1,Q1,P2,Q2,P3,Q3
,sourcebus,0.0,0.0,0.0,0.0,0.0,0.0
,hvmv115_hsb1,0.0,0.0,0.0,0.0,0.0,0.0
,hvmv115_hsb2,0.0,0.0,0.0,0.0,0.0,0.0
,regxfmr_hvmv69sub1_lsb1,0.0,0.0,0.0,0.0,0.0,0.0
,hvmv69sub1_lsb2,0.0,0.0,0.0,0.0,0.0,0.0
,hvmv69sub1_hsb,0.0,0.0,0.0,0.0,0.0,0.0
,hvmv11sub1_lsb,0.0,0.0,0.0,0.0,0.0,0.0
,hvmv_sub1_48332,0.0,0.0,0.0,0.0,0.0,0.0
,d5710794-3_int,0.0,0.0,0.0,0.0,0.0,0.0
,e192860,0.0,0.0,0.0,0.0,0.0,0.0
,hvmv69s1s2_1,0.0,0.0,0.0,0.0,0.0,0.0
,hvmv69s1s2_2,0.0,0.0,0.0,0.0,0.0,0.0
,hvmv69s1s2_3,0.0,0.0,0.0,0.0,0.0,0.0
,hvmv69s1s2_4,0.0,0.0,0.0,0.0,0.0,0.0
,hvmv69s1s2_5,0.0,0.0,0.0,0.0,0.0,0.0
,hvmv69s1s2_6,0.0,0.0,0.0,0.0,0.0,0.0
,hvmv69s1s2_7,0.0,0.0,0.0,0.0,0.0,0.0
,hvmv69s1s2_8,0.0,0.0,0.0,0.0,0.0,0.0
,hvmv69s1s2_9,0.0,0.0,0.0,0.0,0.0,0.0
,hvmv69s1s2_10,0.0,0.0,0.0,0.0,0.0,0.0
,hvmv69sub2_lnb,0.0,0.0,0.0,0.0,0.0,0.0
,hvmv69sub2_hsb,0.0,0.0,0.0,0.0,0.0,0.0
,hvmv11sub2_lsb,0.0,0.0,0.0,0.0,0.0,0.0
,m1047300,0.0,0.0,0.0,0.0,0.0,0.0
,hvmv69s2s3_1,0.0,0.0,0.0,0.0,0.0,0.0
,hvmv69s2s3_2,0.0,0.0,0.0,0.0,0.0,0.0
,hvmv69sub3_hsb,0.0,0.0,0.0,0.0,0.0,0.0
,hvmv11sub3_lsb,0.0,0.0,0.0,0.0,0.0,0.0
,e203026,0.0,0.0,0.0,0.0,0.0,0.0
,m1209817,0.0,0.0,0.0,0.0,0.0,0.0
,l2801909,0.0,0.04608061404714386,0.0,0.04608061404714386,4.253870685462624,1.066080614047144
,m1209814,0.0,0.0,0.0,0.0,0.0,0.0
,m1209811,0.0,0.0,0.0,0.0,0.0,0.0
,m1209807,0.0,0.0,0.0,0.0,0.0,0.0
,m1209805,0.0,0.0,0.0,0.0,0.0,0.0
,l2823592,1.953870685462623,0.48570796700765767,0.0,0.0457079670076577,0.0,0.0457079670076577
,l2823592_cap,0.0,0.0,0.0,0.0,0.0,0.0
,r20185,0.0,0.0,0.0,0.0,0.0,0.0
,d5513564-1_int,0.0,0.0,0.0,0.0,0.0,0.0
,e192201,0.0,0.0,0.0,0.0,0.0,0.0
,m1209800,0.0,0.0,0.0,0.0,0.0,0.0
,m1209797,0.0,0.0,0.0,0.0,0.0,0.0
,m1209791,0.0,0.0,0.0,0.0,0.0,0.0
,m1209790,0.0,0.0,0.0,0.0,0.0,0.0
,m1209788,0.0,0.0,0.0,0.0,0.0,0.0
,m1209787,0.0,0.0,0.0,0.0,0.0,0.0
21386877a0b,l2823611,5.503870685462624,1.3759676713656557,0.0,0.04596767136565576,0.0,0.04596767136565576
20107636a0b,l3030204,9.053870685462622,2.2762267901444924,0.0,0.04622679014449261,0.0,0.04622679014449261
,m1186072,0.0,0.0,0.0,0.0,0.0,0.0
,d6048634-1_int,0.0,0.0,0.0,0.0,0.0,0.0
,m1186067,0.0,0.0,0.0,0.0,0.0,0.0
,m3032980,0.0,0.0,0.0,0.0,0.0,0.0
,m3032977,0.0,0.0,0.0,0.0,0.0,0.0
,m1166366,0.0,0.0,0.0,0.0,0.0,0.0
,m1166368,0.0,0.0,0.0,0.0,0.0,0.0
260630b0b,l2973833,0.0,0.04628251842980409,6.023870685462623,1.516282518429804,0.0,0.04628251842980409
,m1166373,0.0,0.0,0.0,0.0,0.0,0.0
,m1166374,0.0,0.0,0.0,0.0,0.0,0.0
260631a0b,l2786266,5.503870685462624,1.3759676713656557,0.0,0.04596767136565576,0.0,0.04596767136565576
,m1166375,0.0,0.0,0.0,0.0,0.0,0.0
260634a0b,l2842383,5.503870685462623,1.3863132929548716,0.0,0.04631329295487124,0.0,0.04631329295487124
,d6023352-1_int,0.0,0.0,0.0,0.0,0.0,0.0
,e184626,0.0,0.0,0.0,0.0,0.0,0.0
,m1166377,0.0,0.0,0.0,0.0,0.0,0.0
,m1166376,0.0,0.0,0.0,0.0,0.0,0.0
,l2842384,0.0,0.04608061404714386,0.0,0.04608061404714386,4.253870685462624,1.066080614047144
,m1149236,0.0,0.0,0.0,0.0,0.0,0.0
,m1149235,0.0,0.0,0.0,0.0,0.0,0.0
,d5563942-4_int,0.0,0.0,0.0,0.0,0.0,0.0
,q16483,0.0,0.0,0.0,0.0,0.0,0.0
,q16483_cap,0.0,0.0,0.0,0.0,0.0,0.0
,r42247,0.0,0.0,0.0,0.0,0.0,0.0
,m1149233,0.0,0.0,0.0,0.0,0.0,0.0
