bus name,si,vi,Va,Vb,Vc,Load_served_flag,total P load
sourcebus,0.0,1.0,1.04,1.04,1.04,1,0.0
hvmv115_hsb1,0.0,1.0,1.0399999997683267,1.0399999997765996,1.0399999997584026,1,0.0
hvmv115_hsb2,0.0,1.0,1.0399999987153592,1.039999998755935,1.0399999986635153,1,0.0
regxfmr_hvmv69sub1_lsb1,0.0,1.0,1.0399999957904493,1.0399999959207558,1.0399999956221615,1,0.0
hvmv69sub1_lsb2,0.0,1.0,1.03999999286554,1.0399999930855768,1.0399999925808079,1,0.0
hvmv69sub1_hsb,0.0,1.0,1.039999991527964,1.039999991841534,1.0399999910853703,1,0.0
hvmv69s1s2_1,0.0,1.0,1.0399999912790245,1.0399999914956142,1.0399999910352506,1,0.0
regxfmr_hvmv11sub1_lsb,0.0,1.0,1.0399999505751558,1.039999953752438,1.039999945299277,1,0.0
hvmv69s1s2_2,0.0,1.0,1.0395614936682702,1.039668650856662,1.0396616929901126,1,0.0
hvmv11sub1_lsb,0.0,1.0,1.039999909622346,1.0399999156633408,1.0399998995131816,1,0.0
hvmv69s1s2_3,0.0,1.0,1.0392324990399793,1.0394200760623864,1.0394078971988698,1,0.0
hvmv_sub1_48332,0.0,1.0,1.0399997949254745,1.0399998089680467,1.039999771128135,1,0.0
hvmv69s1s2_4,0.0,1.0,1.038903400227353,1.0391714418078293,1.0391540394223011,1,0.0
d5710794-3_int,0.0,1.0,1.0398504063010852,1.0398361943928536,1.039824613009109,1,0.0
hvmv69s1s2_5,0.0,1.0,1.0380252932943508,1.0385081261094837,1.0384767819663454,1,0.0
e192860,0.0,1.0,1.0398503653423865,1.0398361562977587,1.039824567215294,1,0.0
hvmv69s1s2_6,0.0,1.0,1.0371464429065407,1.0378443864674027,1.0377990825389412,1,0.0
m1209817,0.0,1.0,1.0396997459058501,1.0396711914366688,1.039647961572839,1,0.0
hvmv69s1s2_7,0.0,1.0,1.0362668471723668,1.037180222067683,1.0371209402736785,1,0.0
l2801909,1.0,1.0,1.0395055924638366,1.0394585429077814,1.0394203045354384,1,4.07
hvmv69s1s2_8,0.0,1.0,1.0358267692070866,1.036847980328651,1.0367817028053228,1,0.0
m1209814,0.0,1.0,1.0389714353569477,1.038875894225769,1.0387974846286308,1,0.0
hvmv69s1s2_9,0.0,1.0,1.0353865041922388,1.036515632093813,1.036442354301314,1,0.0
m1209811,0.0,1.0,1.0381462218326412,1.0379757130438427,1.0378351922320266,1,0.0
hvmv69s1s2_10,0.0,1.0,1.0349460518891112,1.036183177260696,1.0361028946525512,1,0.0
m1209807,0.0,1.0,1.0371994005119174,1.0369427961522062,1.0367309344132085,1,0.0
hvmv69sub2_lnb,0.0,1.0,1.0349460502948489,1.0361831756648767,1.0361028931011809,1,0.0
m1209805,0.0,1.0,1.036858160635337,1.036570505854785,1.0363329122947564,1,0.0
hvmv69sub2_hsb,0.0,1.0,1.034946049003137,1.0361831743694712,1.0361028918151374,1,0.0
hvmv69s2s3_1,0.0,1.0,1.034946049992303,1.0361831753644664,1.0361028928358589,1,0.0
l2823592,1.0,1.0,1.0360787180353992,1.0357015964532503,1.035321392477202,1,1.77
regxfmr_hvmv11sub2_lsb,0.0,1.0,1.034946009454546,1.0361831347077897,1.036102852440094,1,0.0
hvmv69s2s3_2,0.0,1.0,1.0345551591668585,1.0359281734486383,1.0358715193753538,1,0.0
l2823592_cap,0.0,1.0,1.036037596170937,1.035663312496003,1.0352754822789179,1,0.0
hvmv11sub2_lsb,0.0,1.0,1.0349459699059533,1.0361830950461066,1.036102813065049,1,0.0
hvmv69sub3_hsb,0.0,1.0,1.0345551588642004,1.035928173148155,1.0358715191099748,1,0.0
r20185,0.0,1.0,1.035996472674222,1.0356250271235123,1.0352295700446155,1,0.0
