name,bus,P1,Q1,P2,Q2,P3,Q3
 ,d5742811-3_int,0.0,0.0,0.0,0.0,0.0,0.0
 ,l2820531,0.0,0.0,9.73,2.44,0.0,0.0
 ,m1047507,0.0,0.0,0.0,0.0,0.0,0.0
 ,e206209,0.0,0.0,0.0,0.0,0.0,0.0
 ,l2897777,0.0,0.0,0.0,0.0,10.17,2.55
 ,n1144665,0.0,0.0,0.0,0.0,0.0,0.0
 ,m1047515,0.0,0.0,0.0,0.0,0.0,0.0
 ,m1047513,0.0,0.0,0.0,0.0,0.0,0.0
 ,196-35813,0.0,0.0,0.0,0.0,0.0,0.0
 ,n1140519,0.0,0.0,0.0,0.0,0.0,0.0
226192954c0b,l3157708,0.0,0.0,0.0,0.0,6.1,1.53
 ,n1137991,0.0,0.0,0.0,0.0,0.0,0.0
 ,p901913,0.0,0.0,0.0,0.0,0.0,0.0
 ,m4113345,0.0,0.0,0.0,0.0,0.0,0.0
 ,l3197640,0.0,0.0,0.0,0.0,4.069999999999999,1.02
