name,basekV,latitude,longitude
m1089207,7.2,46.71680306,-119.165824
l3086002,7.2,46.71917548,-119.1406802
m1108535,7.2,46.71708594,-119.1480757
m1069496,7.2,46.71733474,-119.1728749
m1108524,7.2,46.71572356,-119.1549508
m1108534,7.2,46.71660926,-119.153102
l3157718,7.2,46.71505742,-119.1525029
l2842330,7.2,46.7190039,-119.1416373
n1134476,7.2,46.71867106,-119.1765274
l2916602,7.2,46.71596088,-119.1656927
m1108529,7.2,46.7161684,-119.1463925
l3141394,7.2,46.71594328,-119.1491002
l3157167,7.2,46.71748532,-119.1578604
m1089204,7.2,46.71671698,-119.1578424
m1108526,7.2,46.71588234,-119.1551244
m1108514,7.2,46.71393324,-119.1545149
m1089202,7.2,46.71611664,-119.1639657
p827498,7.2,46.71494916,-119.157856
n1134477,7.2,46.71920558,-119.1771987
n1134475,7.2,46.71734242,-119.173895
m1089198,7.2,46.7149737,-119.1611829
l3231255,7.2,46.7170885,-119.1702591
l3179608,7.2,46.71896356,-119.1386593
m1108527,7.2,46.71596084,-119.1490374
n1136032,7.2,46.7153876,-119.1577697
l2955006,7.2,46.71772282,-119.1431676
p895075,7.2,46.71578076,-119.1550133
l2973148,7.2,46.71804172,-119.16311
n1134474,7.2,46.7172482,-119.1719072
m1089205,7.2,46.71672796,-119.1648864
m1108540,7.2,46.71807326,-119.1431936
l2804277,7.2,46.7153246,-119.1535941
l3235242,7.2,46.71609992,-119.1681465
m1089196,7.2,46.71438908,-119.1594916
p895082,7.2,46.7163976,-119.1468918
l3197625,7.2,46.71694306,-119.1545054
m1089213,7.2,46.7170922,-119.1680149
l3235945,7.2,46.71895782,-119.1421825
l3141393,7.2,46.71410878,-119.1702978
l3010557,7.2,46.71671132,-119.1570899
l2692600,7.2,46.71715598,-119.1426144
l2730107,7.2,46.7201959,-119.137504
d5534969-2_int,7.2,46.7192906,-119.1772875
m1089201,7.2,46.71609086,-119.1639043
p895087,7.2,46.71661148,-119.1649109
m1069497,7.2,46.71734668,-119.1744659
n1142106,7.2,46.71638106,-119.1471781
l3118855,7.2,46.717071,-119.1693944
n1144663,7.2,46.71713376,-119.1706964
p901934,7.2,46.71654496,-119.1530249
l3097861,7.2,46.71123254,-119.1545121
n1134472,7.2,46.7169313,-119.1648435
m1108532,7.2,46.71640836,-119.1467053
m1089197,7.2,46.71479544,-119.1579491
m1126031,7.2,46.71895742,-119.1392299
m1108520,7.2,46.71532714,-119.1545174
n1136031,7.2,46.7161866,-119.1549468
n1140517,7.2,46.71640036,-119.1528516
m1108508,7.2,46.71253932,-119.1545115
m1089215,7.2,46.71717862,-119.1711294
m1089der480-2,0.28,46.71874612,-119.1704469
p895089,7.2,46.7169594,-119.1680325
m1089200,7.2,46.71597124,-119.1652328
n1142107,7.2,46.71626388,-119.1458385
m1069495,7.2,46.71729196,-119.1747193
m1089220,7.2,46.71874612,-119.1709691
l2785511,7.2,46.71927732,-119.1578905
m1089195,7.2,46.71414214,-119.1683668
l3066814,7.2,46.7190627,-119.1770243
p829796,7.2,46.71618604,-119.1462902
l3160098,7.2,46.71692316,-119.1662037
m1069498,7.2,46.71742112,-119.1748332
l3101827,7.2,46.71604896,-119.1440103
m1069499,7.2,46.71833932,-119.1761065
q14734,7.2,46.71591474,-119.1463221
m1089199,7.2,46.71529394,-119.1566918
l2936213,7.2,46.71635522,-119.1476257
m1089203,7.2,46.71652184,-119.1649298
