name,basekV,latitude,longitude
area_1,66.4,46.6965308,-119.0696656
area_2,66.4,46.6956596,-119.07071
area_3,39.84,46.69478842,-119.0717544
area_4,7.2,46.69304604,-119.0738431
area_5,7.2,46.68625,-119.079055
area_6,39.84,46.66734596,-119.1072628
area_7,39.84,46.62073734,-119.2047543
area_8,39.84,46.62160852,-119.2047543
area_9,7.2,46.62607268,-119.2028489
area_10,39.84,46.62073734,-119.2059553
area_11,7.2,46.68084938,-119.2406805
area_12,7.2,46.68646472,-119.237501
area_13,7.2,46.68227766,-119.088328
area_14,7.2,46.68843754,-119.1025047
area_15,7.2,46.6823162,-119.1115866
area_16,7.2,46.68128498,-119.1182286
area_17,7.2,46.63110702,-119.1973997
area_18,7.2,46.63850484,-119.1927986
area_19,7.2,46.65115006,-119.1717579
area_20,7.2,46.65406032,-119.1645463
area_21,7.2,46.65601166,-119.1600349
area_22,7.2,46.66861532,-119.138837
area_23,7.2,46.66995952,-119.136505
area_24,7.2,46.66124764,-119.1751466
area_25,0.28,46.66124764,-119.1730578
area_26,7.2,46.66831516,-119.1735838
area_27,7.2,46.6941784,-119.1787972
area_28,7.2,46.69513942,-119.1810746
area_29,7.2,46.71104494,-119.2034981
area_30,7.2,46.72489278,-119.2313438
area_31,7.2,46.72702242,-119.227887
area_32,7.2,46.71802264,-119.2087628
area_33,7.2,46.71255126,-119.1980113
area_34,7.2,46.71090542,-119.1960339
area_35,7.2,46.7151667,-119.1898076
area_36,7.2,46.71630678,-119.1902789
area_37,7.2,46.7206,-119.18515
area_38,7.2,46.72148718,-119.183648
area_39,7.2,46.71680306,-119.165824
area_40,0.28,46.71874612,-119.1699247
area_41,7.2,46.71534848,-119.1461132
area_42,7.2,46.71037264,-119.1421799
area_43,7.2,46.6933297,-119.1392443
area_44,7.2,46.69335914,-119.1332293
area_45,7.2,46.70417508,-119.2123351
area_46,7.2,46.69925962,-119.2142073
area_47,7.2,46.69095422,-119.2317572
area_48,7.2,46.71678368,-119.2427967
area_49,7.2,46.7007896,-119.2402316
area_50,7.2,46.6991535,-119.1509615
area_51,7.2,46.70149744,-119.1644398
area_52,0.28,46.69740198,-119.162092
area_53,7.2,46.69132792,-119.1650827
area_54,7.2,46.69399724,-119.1772309
area_55,7.2,46.68956446,-119.1605955
area_56,7.2,46.67571756,-119.0903993
area_57,0.28,46.6777131,-119.0761929
area_58,7.2,46.72579372,-119.1956596
area_59,7.2,46.73132412,-119.1825555
area_60,7.2,46.66873498,-119.118647
area_61,0.28,46.67387988,-119.1177065
area_62,7.2,46.6259,-119.2027
area_63,7.2,46.74262832,-119.2306898
area_64,7.2,46.6842255,-119.1998896
area_65,7.2,46.67687062,-119.2055634
area_66,7.2,46.66552098,-119.1788807
area_67,7.2,46.75898128,-119.2272799
area_68,7.2,46.6016998,-119.2419017
area_69,7.2,46.73761946,-119.2280158
area_70,7.2,46.75840094,-119.231714
area_71,7.2,46.67746664,-119.1748941
area_72,7.2,46.74464142,-119.1801026
area_73,7.2,46.70095208,-119.2136836
area_74,7.2,46.712111,-119.0911846
area_75,7.2,46.63522818,-119.1542567
area_76,7.2,46.64193172,-119.1786983
area_77,7.2,46.6479116,-119.2094002
area_78,7.2,46.6483,-119.2106
area_79,7.2,46.60131286,-119.2482271
area_80,7.2,46.648083,-119.2086814
area_81,7.2,46.6495,-119.21164
area_82,7.2,46.76420298,-119.1952694
area_83,7.2,46.74307842,-119.2045682
area_84,7.2,46.73856566,-119.199167
area_85,7.2,46.72098154,-119.2475326
area_86,7.2,46.70069938,-119.220474
area_87,7.2,46.7623085,-119.2450931
area_88,7.2,46.60984748,-119.2017779
area_89,7.2,46.61115426,-119.2127437
area_90,7.2,46.61071866,-119.2069997
area_91,7.2,46.6155102,-119.1970782
area_92,7.2,46.6072339,-119.204911
area_93,7.2,46.61115426,-119.1960339
area_94,7.2,46.60331356,-119.2033444
area_95,0.28,46.6081051,-119.1939451
area_96,0.28,46.60636272,-119.1939451
area_97,0.28,46.60462034,-119.1939451
area_98,0.28,46.60462034,-119.1976004
area_99,0.28,46.6045,-119.1955
