name,bus,P1,Q1,P2,Q2,P3,Q3
area_1,area_1,0.0,0.0,0.0,0.0,0.0,0.0
area_2,area_2,0.0,0.0,0.0,0.0,0.0,0.0
area_3,area_3,0.0,0.0,0.0,0.0,0.0,0.0
area_4,area_4,0.0,0.0,0.0,0.0,0.0,0.0
area_5,area_5,1.77,0.44,0.0,0.0,4.07,1.02
area_6,area_6,0.0,0.0,0.0,0.0,0.0,0.0
area_7,area_7,0.0,0.0,0.0,0.0,0.0,0.0
area_8,area_8,0.0,0.0,0.0,0.0,0.0,0.0
area_9,area_9,169.39000000000001,42.47,52.55,13.18,121.02000000000001,30.34
area_10,area_10,0.0,0.0,0.0,0.0,0.0,0.0
area_11,area_11,0.0,0.0,0.0,0.0,0.0,0.0
area_12,area_12,31.93,7.99,0.0,0.0,73.23,18.35
area_13,area_13,53.22,13.330000000000002,0.0,0.0,6.1,1.52
area_14,area_14,92.23000000000002,23.119999999999997,5.84,1.47,42.709999999999994,10.7
area_15,area_15,3.55,0.89,0.0,0.0,30.509999999999998,7.64
area_16,area_16,37.25,9.34,14.59,3.66,10.170000000000002,2.5500000000000003
area_17,area_17,98.45000000000002,24.690000000000005,15.57,3.8899999999999997,4.07,1.02
area_18,area_18,263.42,66.02,30.16,7.550000000000001,78.31,19.64
area_19,area_19,5.32,1.34,0.0,0.0,22.37,5.6
area_20,area_20,0.0,0.0,0.0,0.0,0.0,0.0
area_21,area_21,117.97,29.58,106.03999999999999,26.580000000000002,66.11,16.58
area_22,area_22,19.51,4.890000000000001,0.0,0.0,22.37,5.61
area_23,area_23,46.11,11.56,113.84,28.52,113.91,28.560000000000002
area_24,area_24,0.0,0.0,0.0,0.0,214.56999999999994,53.779999999999994
area_25,area_25,0.0,0.0,0.0,0.0,0.0,0.0
area_26,area_26,93.12,23.35,81.72,20.48,270.59000000000003,67.81
area_27,area_27,0.0,0.0,9.73,2.44,61.019999999999996,15.28
area_28,area_28,230.57000000000002,57.8,108.0,27.079999999999995,141.37,35.41
area_29,area_29,0.0,0.0,9.73,2.44,20.34,5.1
