bus name,si,vi,Va,Vb,Vc,Load_served_flag
sourcebus,0.0,1.0,1.05,1.05,1.05,1
hvmv115_hsb1,0.0,1.0,1.05,1.05,1.05,1
area_1area_2,1.0,1.0,1.0499999716943602,1.0499999708380798,1.0499999723362186,1
area_1area_88,1.0,1.0,1.0499999963967135,1.0499999967089457,1.0499999961235564,1
hvmv115_hsb2,0.0,1.0,1.0499999433887197,1.049999941676159,1.0499999446724364,1
regxfmr_hvmv69sub1_lsb1,0.0,1.0,1.0499999433887197,1.049999941676159,1.0499999446724364,1
area_1area_2,0.0,1.0,1.0499999716943602,1.0499999708380798,1.0499999723362186,1
area_2area_3,1.0,1.0,1.0499999150830785,1.0499999125142372,1.0499999170086534,1
area_2area_3,0.0,1.0,1.0499999150830785,1.0499999125142372,1.0499999170086534,1
hvmv69sub1_lsb2,0.0,1.0,1.0499998867774365,1.0499998833523145,1.0499998893448697,1
area_3area_4,1.0,1.0,1.0499998788319298,1.0499998758102964,1.0499998805408775,1
area_3area_6,1.0,1.0,1.049999866417301,1.0499998617324096,1.0499998704850777,1
hvmv11sub1_lsb,0.0,1.0,1.0499998549954088,1.0499998531842416,1.0499998541289002,1
hvmv_sub1_48332,0.0,1.0,1.049999832719987,1.0499998320377064,1.04999982944553,1
d5710794-3_int,0.0,1.0,1.0499702156179904,1.0499674181665355,1.0499670263421823,1
hvmv69sub1_hsb,0.0,1.0,1.0499998708864229,1.049999868268278,1.0499998717368852,1
regxfmr_hvmv11sub1_lsb,0.0,1.0,1.049999862940916,1.04999986072626,1.0499998629328928,1
area_3area_4,0.0,1.0,1.0499998788319298,1.0499998758102964,1.0499998805408775,1
area_4area_5,1.0,1.0,1.049970207672259,1.0499674106242842,1.0499670175379145,1
e192860,0.0,1.0,1.0499701997265276,1.049967403082033,1.0499670087336466,1
m1209817,0.0,1.0,1.0499403420717939,1.0499347258551437,1.0499339390997642,1
l2801909,1.0,1.0,1.0499018596945384,1.049892609310858,1.0498913167774835,1
