line,Pija,Pijb,Pijc,Qija,Qijb,Qijc,status
"('area_1', 'area_2')",3766.930000000193,3655.9100000000003,3856.85,1062.96,1024.69,1094.2800000000002,1.0
"('area_2', 'area_3')",3766.930000000193,3655.9100000000003,3856.85,1062.96,1024.69,1094.2800000000002,1.0
"('area_3', 'area_4')",733.4300000000001,490.31000000000006,990.58,183.81000000000003,122.93,248.26999999999998,1.0
"('area_4', 'area_5')",733.4300000000001,490.31000000000006,990.58,183.81000000000003,122.93,248.26999999999998,1.0
"('area_3', 'area_6')",3033.5,3165.6,2866.2699999998067,879.15,901.76,846.0100000000001,1.0
"('area_6', 'area_7')",3033.5,3165.6,2866.2699999998067,879.15,901.76,846.0100000000001,1.0
"('area_7', 'area_8')",1228.7300000001933,1499.8300000000002,1748.519999999807,426.7,484.31,565.9200000000001,1.0
"('area_8', 'area_9')",1228.7300000001933,1499.8300000000002,1748.519999999807,426.7,484.31,565.9200000000001,1.0
"('area_7', 'area_10')",1804.77,1665.77,1117.75,452.45,417.45,280.09000000000003,1.0
"('area_10', 'area_11')",1804.77,1665.77,1117.75,452.45,417.45,280.09000000000003,1.0
"('area_11', 'area_12')",1804.77,1665.77,1117.75,452.45,417.45,280.09000000000003,1.0
"('area_5', 'area_13')",731.6600000000001,490.31000000000006,986.51,183.37000000000003,122.93,247.25,1.0
"('area_13', 'area_14')",678.44,490.31000000000006,729.21,170.04000000000002,122.93,182.76,1.0
"('area_14', 'area_15')",470.92,315.22,558.36,118.02000000000001,79.03,139.93999999999997,1.0
"('area_15', 'area_16')",467.37,315.22,527.85,117.13000000000001,79.03,132.3,1.0
"('area_9', 'area_17')",674.95,842.5600000000002,1213.3100000000002,169.19,211.2,304.12,1.0
"('area_17', 'area_18')",576.5,826.9900000000001,1209.2400000000002,144.5,207.31,303.1,1.0
"('area_18', 'area_19')",313.08,584.75,1130.9300000000003,78.48,146.63,283.46000000000004,1.0
"('area_19', 'area_20')",137.48,106.04,368.13000000000005,34.47,26.58,92.27,1.0
"('area_20', 'area_21')",137.48,106.04,368.13000000000005,34.47,26.58,92.27,1.0
"('area_21', 'area_22')",19.50999999999999,0.0,302.02000000000004,4.890000000000001,0.0,75.69,1.0
"('area_23', 'area_22')",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('area_16', 'area_23')",101.09,148.87,113.91,25.34,37.3,28.56,1.0
"('area_19', 'area_24')",170.28,403.7900000000001,633.6400000000001,42.67,101.25,158.81,1.0
"('area_24', 'area_25')",0.0,0.0,0.0,0.0,0.0,0.0,1.0
"('area_24', 'area_26')",170.28,403.7900000000001,387.5400000000001,42.67,101.25,97.12,1.0
"('area_26', 'area_27')",0.0,9.73,116.95,0.0,2.44,29.309999999999995,1.0
"('area_28', 'area_27')",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('area_29', 'area_28')",230.56999999999994,108.0,141.37,57.8,27.079999999999995,35.41,1.0
"('area_30', 'area_31')",0.0,0.0,0.0,0.0,0.0,0.0,1.0
"('area_32', 'area_30')",258.97,191.69,186.12,64.92,48.03,46.64,1.0
"('area_33', 'area_32')",812.3600000000001,727.8400000000001,520.75,203.64,182.41,130.51,1.0
"('area_33', 'area_34')",0.0,0.0,0.0,0.0,0.0,0.0,1.0
"('area_33', 'area_35')",171.17,425.15999999999997,86.45,42.93,106.56,21.65,1.0
"('area_35', 'area_36')",140.13,425.15999999999997,50.85,35.15,106.56,12.73,1.0
"('area_36', 'area_37')",140.13,425.15999999999997,50.85,35.15,106.56,12.73,1.0
"('area_37', 'area_38')",103.77,409.59,50.85,26.03,102.66,12.73,1.0
"('area_39', 'area_38')",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('area_39', 'area_40')",0.0,0.0,0.0,0.0,0.0,0.0,1.0
"('area_41', 'area_39')",47.89,28.21,142.39,11.990000000000002,7.08,35.68,1.0
"('area_42', 'area_41')",47.89,28.21,142.39,11.990000000000002,7.08,35.68,1.0
"('area_43', 'area_42')",241.24,58.370000000000005,170.87,60.45,14.65,42.82,1.0
"('area_44', 'area_43')",284.69,151.76,264.45,71.34,38.07,66.28,1.0
"('area_16', 'area_44')",329.03,151.76,403.77,82.45,38.07,101.19,1.0
"('area_29', 'area_33')",1014.5700000000002,1153.0,607.2,254.35,288.97,152.16,1.0
"('area_45', 'area_29')",1245.14,1270.73,768.9100000000001,312.15,318.49,192.67,1.0
"('area_46', 'area_45')",1299.24,1270.73,813.65,325.7,318.49,203.88,1.0
"('area_47', 'area_46')",1626.5,1374.82,932.6400000000001,407.76,344.57,233.69,1.0
"('area_30', 'area_48')",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('area_49', 'area_48')",12.419999999999998,267.6,111.88,3.12,67.03999999999999,28.05,1.0
"('area_47', 'area_49')",137.47,290.95,111.88,34.48,72.88,28.05,1.0
"('area_12', 'area_47')",1772.84,1665.77,1044.52,444.46,417.45,261.74,1.0
"('area_43', 'area_50')",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('area_50', 'area_51')",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('area_51', 'area_52')",0.0,0.0,-55.940000000000005,0.0,0.0,-14.03,1.0
"('area_53', 'area_51')",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('area_54', 'area_53')",0.0,0.0,18.3,0.0,0.0,4.589999999999998,1.0
"('area_27', 'area_54')",0.0,0.0,55.93000000000001,0.0,0.0,14.029999999999998,1.0
"('area_55', 'area_53')",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('area_22', 'area_55')",0.0,0.0,279.65,0.0,0.0,70.08,1.0
"('area_14', 'area_56')",115.29,169.25,128.14,28.9,42.43,32.12,1.0
"('area_56', 'area_57')",0.0,0.0,0.0,0.0,0.0,0.0,1.0
"('area_32', 'area_58')",180.93,486.53000000000003,160.69,45.37,121.94,40.27,1.0
"('area_38', 'area_59')",49.67,405.7,36.61,12.45,101.68,9.16,1.0
"('area_23', 'area_60')",54.98000000000001,35.03,0.0,13.78,8.780000000000001,0.0,1.0
"('area_60', 'area_61')",0.0,0.0,0.0,0.0,0.0,0.0,1.0
"('area_9', 'area_62')",8.87,9.73,10.17,2.23,2.44,2.55,1.0
"('area_30', 'area_63')",204.87,167.37,159.68,51.36,41.93,40.01,1.0
"('area_26', 'area_64')",0.0,312.34000000000003,0.0,0.0,78.32999999999998,0.0,1.0
"('area_64', 'area_65')",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('area_26', 'area_26')",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('area_50', 'area_50')",0.0,0.0,0.0,0.0,0.0,0.0,0
"('area_24', 'area_66')",0.0,0.0,31.53,0.0,0.0,7.91,1.0
"('area_32', 'area_32')",0.0,0.0,0.0,0.0,0.0,0.0,0.0
